"episode","index","picard","riker","geordi","tasha","worf","beverly","pulaski","troi","data","wesley","tot_words","picard_prop","riker_prop","geordi_prop","tasha_prop","worf_prop","beverly_prop","pulaski_prop","troi_prop","data_prop","wesley_prop","released","episode_number","season"
"realm of fear",125,354,213,943,0,41,447,0,376,316,0,2690,0.131598513011152,0.079182156133829,0.350557620817844,0,0.0152416356877323,0.166171003717472,0,0.139776951672862,0.117472118959108,0,1992-09-26,2,6
"redemption",97,1367,153,0,0,941,0,0,0,118,0,2579,0.530050407134548,0.0593253198914308,0,0,0.364870104691741,0,0,0,0.04575416828228,0,1991-06-15,26,4
"redemption ii",98,1364,107,54,0,271,39,0,39,546,0,2420,0.563636363636364,0.0442148760330578,0.0223140495867769,0,0.11198347107438,0.0161157024793388,0,0.0161157024793388,0.225619834710744,0,1991-09-21,1,5
"relics",127,768,344,1306,0,129,94,0,181,732,0,3554,0.216094541361846,0.0967923466516601,0.367473269555431,0,0.0362971299943725,0.0264490714687676,0,0.0509285312324142,0.205965109735509,0,1992-10-10,4,6
"remember me",77,754,208,310,0,96,2219,0,99,275,476,4437,0.169934640522876,0.046878521523552,0.0698670272706784,0,0.0216362407031778,0.500112688753662,0,0.0223123732251521,0.0619788145143115,0.10727969348659,1990-10-20,5,4
"reunion",79,1175,150,58,0,827,160,0,7,83,18,2478,0.474172719935432,0.0605326876513317,0.0234059725585149,0,0.333736884584342,0.0645682001614205,0,0.00282485875706215,0.0334947538337369,0.00726392251815981,1990-11-03,7,4
"rightful heir",146,712,278,34,0,1531,78,0,39,483,0,3155,0.2256735340729,0.0881141045958796,0.0107765451664025,0,0.485261489698891,0.0247226624405705,0,0.0123613312202853,0.153090332805071,0,1993-05-15,23,6
"samaritan snare",41,1164,1256,791,0,278,0,200,150,475,431,4745,0.245310853530032,0.264699683877766,0.166701791359326,0,0.0585879873551106,0,0.0421496311907271,0.0316122233930453,0.100105374077977,0.0908324552160169,1989-05-13,17,2
"sarek",69,1619,370,231,0,36,320,0,226,318,208,3328,0.486478365384615,0.111177884615385,0.0694110576923077,0,0.0108173076923077,0.0961538461538462,0,0.0679086538461538,0.0955528846153846,0.0625,1990-05-12,23,3
"schisms",128,455,721,1394,0,186,298,0,300,760,0,4114,0.110597958191541,0.175255226057365,0.338842975206612,0,0.0452114730189596,0.0724355858045698,0,0.0729217306757414,0.184735051045211,0,1992-10-17,5,6
"second chances",147,476,2858,133,0,118,208,0,915,386,0,5094,0.0934432665881429,0.561052218296035,0.0261091480172752,0,0.0231645072634472,0.0408323517864154,0,0.17962308598351,0.0757754220651747,0,1993-05-22,24,6
"shades of gray",46,472,1794,279,74,63,133,961,400,441,93,4710,0.100212314225053,0.380891719745223,0.0592356687898089,0.0157112526539278,0.0133757961783439,0.0282377919320594,0.204033970276009,0.0849256900212314,0.0936305732484076,0.0197452229299363,1989-07-15,22,2
"ship in a bottle",135,1621,347,487,0,63,95,0,53,768,0,3434,0.472044263249854,0.10104834012813,0.141817122888759,0,0.0183459522422831,0.0276645311589983,0,0.0154338963308096,0.223645894001165,0,1993-01-23,12,6
"silicon avatar",101,834,708,190,0,122,121,0,92,1263,0,3330,0.25045045045045,0.212612612612613,0.0570570570570571,0,0.0366366366366366,0.0363363363363363,0,0.0276276276276276,0.379279279279279,0,1991-10-12,4,5
"sins of the father",63,1132,431,247,0,886,117,0,21,185,69,3088,0.366580310880829,0.139572538860104,0.0799870466321244,0,0.286917098445596,0.0378886010362694,0,0.00680051813471503,0.0599093264248705,0.0223445595854922,1990-03-17,17,3
"skin of evil",22,1135,475,105,608,330,339,0,308,415,42,3757,0.302102741549108,0.126430662762843,0.0279478307159968,0.161831248336439,0.0878360393931328,0.0902315677402183,0,0.0819803034335906,0.110460473782273,0.0111791322863987,1988-04-23,22,1
"starship mine",141,873,456,202,0,74,228,0,142,430,0,2405,0.362993762993763,0.18960498960499,0.083991683991684,0,0.0307692307692308,0.0948024948024948,0,0.059043659043659,0.178794178794179,0,1993-03-27,18,6
"sub rosa",163,628,50,305,0,49,2054,0,390,399,0,3875,0.162064516129032,0.0129032258064516,0.0787096774193548,0,0.0126451612903226,0.530064516129032,0,0.100645161290323,0.102967741935484,0,1994-01-29,14,7
"suddenly human",76,1818,345,23,0,205,419,0,472,316,83,3681,0.493887530562347,0.0937245313773431,0.00624830209182287,0,0.0556913882097256,0.113827764194512,0,0.128226025536539,0.0858462374354795,0.0225482205922304,1990-10-13,4,4
"suspicions",145,635,167,60,0,134,2861,0,33,330,0,4220,0.150473933649289,0.0395734597156398,0.014218009478673,0,0.0317535545023697,0.677962085308057,0,0.00781990521327014,0.0781990521327014,0,1993-05-08,22,6
"symbiosis",21,1494,407,82,539,115,593,0,47,427,116,3820,0.391099476439791,0.106544502617801,0.0214659685863874,0.141099476439791,0.0301047120418848,0.155235602094241,0,0.012303664921466,0.111780104712042,0.0303664921465969,1988-04-16,21,1
"tapestry",138,1988,213,128,0,54,122,0,75,31,0,2611,0.761394101876676,0.0815779394867867,0.0490233626962849,0,0.0206817311374952,0.0467253925698966,0,0.0287246265798545,0.0118728456530065,0,1993-02-13,15,6
"the arsenal of freedom",20,886,665,779,408,206,138,0,46,313,0,3441,0.257483289741354,0.193257773902935,0.226387678000581,0.118570183086312,0.0598663179308341,0.040104620749782,0,0.013368206916594,0.0909619296716071,0,1988-04-09,20,1
"the battle",8,1649,1036,173,160,98,546,0,239,471,222,4594,0.358946451893774,0.225511536787114,0.0376578145407053,0.0348280365694384,0.021332172398781,0.118850674793209,0,0.0520243796255986,0.102525032651284,0.0483239007400958,1987-11-14,8,1
"the best of both worlds: part 1",72,1002,1360,521,0,330,80,0,182,272,154,3901,0.256857216098436,0.348628556780313,0.133555498590105,0,0.0845936939246347,0.0205075621635478,0,0.0466547039220713,0.0697257113560626,0.0394770571648295,1990-06-16,26,3
"the best of both worlds: part 2",73,72,1621,150,0,192,309,0,157,646,139,3286,0.021911138161899,0.493304930006086,0.0456482045039562,0,0.0584297017650639,0.0940353012781497,0,0.0477784540474741,0.196591600730371,0.0423006695069994,1990-09-22,1,4
"the big goodbye",11,1082,402,184,86,20,203,0,81,595,80,2733,0.395901939260885,0.147091108671789,0.0673252835711672,0.0314672521039151,0.00731796560556165,0.0742773508964508,0,0.0296377607025247,0.217709476765459,0.0292718624222466,1988-01-09,11,1
"the bonding",51,1016,307,221,0,552,154,0,1162,268,270,3950,0.257215189873418,0.0777215189873418,0.0559493670886076,0,0.139746835443038,0.0389873417721519,0,0.294177215189873,0.0678481012658228,0.0683544303797468,1989-10-21,5,3
"the chase",143,2412,350,273,0,184,528,0,131,513,0,4391,0.54930539740378,0.0797084946481439,0.0621726258255523,0,0.04190389432931,0.120245957640629,0,0.0298337508540196,0.116829879298565,0,1993-04-24,20,6
"the child",26,1253,608,352,0,66,0,870,550,332,325,4356,0.287649219467401,0.139577594123049,0.0808080808080808,0,0.0151515151515152,0,0.199724517906336,0.126262626262626,0.0762167125803489,0.0746097337006428,1988-11-19,1,2
"the dauphin",34,630,376,272,0,215,0,137,119,290,892,2931,0.214943705220061,0.128283862163084,0.0928010917775503,0,0.0733538041624019,0,0.0467417263732514,0.0406004776526783,0.0989423404981235,0.304332992152849,1989-02-18,10,2
